Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,NB5F,145.150000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,Nassau Bay,,,,
2,WR5GC,145.410000,-,0.600000,Tone,131.8,88.5,023,NN,FM,5.00,,League City,,,,
3,W5RRR,146.640000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,"Houston, JSC Building 1",,,,
4,KA5QDG,146.740000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,"Houston, Memorial Hospital SE",,,,
5,K5HOU,146.860000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,"Clear Lake, Boeing Building 3700",,,,
6,KD5GR,147.120000,+,0.600000,Tone,167.9,167.9,023,NN,FM,5.00,,Friendswood,,,,
7,K5PLD,147.160000,+,0.600000,Tone,167.9,131.8,023,NN,FM,5.00,,Pearland,,,,
8,K5PLD,147.220000,+,0.600000,Tone,167.9,167.9,023,NN,FM,5.00,,Pearland,,,,
9,WR5GC,442.225000,+,5.000000,Tone,131.8,88.5,023,NN,FM,5.00,,League City,,,,
10,NB5F,442.475000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,Nassau Bay,,,,
11,K5HOU,442.750000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,"Clear Lake, Boeing Building",,,,
12,K5PLD,443.050000,+,5.000000,,88.5,88.5,023,NN,DIG,5.00,,Pearland,,,,
13,N5TRS,443.675000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,Houston,,,,
14,KA5QDG,146.740000,-,0.600000,Tone,107.2,123.0,023,NN,FM,5.00,,Webster,,,,
15,KD5GR,444.875000,+,5.000000,Tone,123.0,88.5,023,NN,Auto,5.00,,Friendswood,,,,
